Date,Time,Vehicle_Type,FastagID,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Vehicle_State_Code,Vehicle_Plate_Number.2,Fraud_indicator,Fraud in Amount
1/27/2023,15:45:00,Bus ,FTG-122-XRW-432,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",90,KA,65QR1345,Not Fraud,0
1/28/2023,21:25:00,Car,FTG-123-NMK-101,A-101,Express,Small,120,90,"13.059816123454882, 77.77068662374292",48,KA,88ST6784,Fraud,30
1/30/2023,07:35:00,Truck,FTG-125-VTN-543,C-103,Express,Large,350,120,"13.059816123454882, 77.77068662374292",63,KA,74WX3156,Fraud,230
1/31/2023,11:10:00,Van,FTG-126-PTM-210,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",87,KA,77YZ5789,Not Fraud,0
02-01-2023,16:50:00,Sedan,FTG-127-HJT-987,A-101,Express,Medium,160,100,"13.059816123454882, 77.77068662374292",52,KA,80AB0122,Fraud,60
02-02-2023,21:25:00,SUV,FTG-128-WSX-652,B-102,Regular,Large,180,120,"13.059816123454882, 77.77068662374292",95,KA,33CD4567,Fraud,60
02-03-2023,03:05:00,Bus ,FTG-129-QQZ-321,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",73,KA,76EF8901,Not Fraud,0
02-04-2023,08:40:00,Car,FTG-130-LOO-098,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",82,KA,59GH2345,Not Fraud,0
02-06-2023,18:55:00,Truck,FTG-132-IOC-432,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",96,KA,95KL0223,Not Fraud,0
02-07-2023,23:30:00,Van,FTG-033-JIP-109,B-102,Express,Medium,140,100,"13.059816123454882, 77.77068662374292",66,KA,98MN4567,Fraud,40
02-08-2023,05:10:00,Sedan,FTG-134-RPV-876,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",89,KA,03AB1134,Not Fraud,0
02-09-2023,09:40:00,SUV,FTG-135-EPC-543,B-102,Express,Large,180,120,"13.059816123454882, 77.77068662374292",51,KA,06CD5673,Fraud,60
02-10-2023,14:20:00,Bus ,FTG-136-OPM-210,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",76,KA,09EF9016,Not Fraud,0
02-11-2023,17:55:00,Car,FTG-137-NJI-9879,A-101,Express,Small,120,0,"13.059816123454882, 77.77068662374292",61,KA,12GH3453,Fraud,120
2/13/2023,04:05:00,Truck,FTG-029-UUY-321,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",74,KA,18KL0123,Not Fraud,0
2/14/2023,08:45:00,Van,FTG-140-POU-09P,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",93,KA,21MN4567,Fraud,50
2/15/2023,13:20:00,Sedan,FTG-141-ZXC-769,A-101,Express,Medium,160,120,"13.059816123454882, 77.77068662374292",49,KA,24OP8901,Fraud,40
2/16/2023,16:55:00,SUV,FTG-142-VBN-439,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",83,KA,27QR2345,Not Fraud,0
2/17/2023,22:35:00,Bus ,FTG-143-QWE-107,C-103,Express,Large,350,90,"13.059816123454882, 77.77068662374292",59,KA,30ST6789,Fraud,260
2/18/2023,04:15:00,Car,FTG-034-MKH-875,A-101,Regular,Small,120,90,"13.059816123454882, 77.77068662374292",91,KA,33UV0123,Fraud,30
2/20/2023,13:25:00,Truck,FTG-036-POI-217,C-103,Regular,Large,350,140,"13.059816123454882, 77.77068662374292",86,KA,39YZ6789,Fraud,210
2/21/2023,18:00:00,Van,FTG-347-XCV-985,B-102,Express,Medium,140,90,"13.059816123454882, 77.77068662374292",56,KA,42AB0123,Fraud,50
2/22/2023,22:35:00,Sedan,FTG-048-JKL-653,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",79,KA,45CD4567,Not Fraud,0
2/23/2023,04:15:00,SUV,FTG-049-RFD-322,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",64,KA,48EF8901,Not Fraud,0
2/24/2023,08:50:00,Bus ,FTG-040-HRT-098,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",97,KA,51GH2345,Fraud,230
2/25/2023,13:30:00,Car,FTG-041-YUI-764,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",69,KA,54IJ6789,Not Fraud,0
2/27/2023,23:40:00,Truck,FTG-043-NBH-106,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",54,KA,60MN4567,Fraud,250
2/28/2023,05:20:00,Van,FTG-044-KJH-875,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",81,KA,63OP8901,Not Fraud,0
03-01-2023,09:50:00,Sedan,FTG-053-EDC-545,A-101,Express,Medium,160,90,"13.059816123454882, 77.77068662374292",65,KA,66QR2345,Fraud,70
03-02-2023,14:30:00,SUV,FTG-046-LMK-212,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",92,KA,69ST6789,Not Fraud,0
03-03-2023,18:05:00,Bus ,FTG-057-PRN-887,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",50,KA,72UV0123,Not Fraud,0
03-04-2023,23:45:00,Car,FTG-558-VFR-652,A-101,Regular,Small,120,90,"13.059816123454882, 77.77068662374292",75,KA,75WX3456,Fraud,30
03-06-2023,07:55:00,Truck,FTG-060-QAZ-092,C-103,Regular,Large,350,90,"13.059816123454882, 77.77068662374292",89,KA,81AB0123,Fraud,260
03-07-2023,12:30:00,Van,FTG-061-POU-764,B-102,Express,Medium,140,90,"13.059816123454882, 77.77068662374292",44,KA,84CD4567,Fraud,50
03-08-2023,16:05:00,Sedan,FTG-052-NJH-434,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",78,KA,87EF8901,Not Fraud,0
03-09-2023,21:45:00,SUV,FTG-053-ZXC-104,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",67,KA,90GH2345,Not Fraud,0
03-10-2023,03:25:00,Bus ,FTG-054-OKM-874,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",95,KA,93IJ6789,Not Fraud,0
03-11-2023,08:55:00,Car,FTG-055-LKJ-544,A-101,Express,Small,120,90,"13.059816123454882, 77.77068662374292",55,KA,96KL0123,Fraud,30
3/13/2023,18:10:00,Truck,FTG-077-MKF-984,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",62,KA,02XY8901,Not Fraud,0
3/14/2023,23:50:00,Van,FTG-068-DCV-653,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",87,KA,05LM2345,Fraud,50
3/15/2023,05:30:00,Sedan,FTG-059-NBH-323,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",47,KA,08UV6789,Not Fraud,0
3/16/2023,10:05:00,SUV,FTG-060-POI-093,B-102,Regular,Large,180,100,"13.059816123454882, 77.77068662374292",73,KA,01OP0123,Fraud,80
3/17/2023,14:45:00,Bus ,FTG-061-RSX-765,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",68,KA,04QR4567,Not Fraud,0
3/18/2023,19:20:00,Car,FTG-062-QAZ-431,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",91,KA,10YZ8901,Not Fraud,0
3/20/2023,06:35:00,Truck,FTG-064-VFR-873,C-103,Regular,Large,350,100,"13.059816123454882, 77.77068662374292",82,KA,03CD6789,Fraud,250
3/21/2023,11:05:00,Van,FTG-065-YUI-545,B-102,Express,Medium,140,110,"13.059816123454882, 77.77068662374292",56,KA,29EF0123,Fraud,30
3/22/2023,15:40:00,Sedan,FTG-066-CDE-213,A-101,Regular,Medium,160,90,"13.059816123454882, 77.77068662374292",84,KA,26GH4567,Fraud,70
3/23/2023,21:20:00,SUV,FTG-067-LMK-983,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",69,KA,12IJ8801,Not Fraud,0
3/24/2023,02:00:00,Bus ,FTG-068-NJH-655,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",94,KA,34KL2345,Not Fraud,0
3/25/2023,06:30:00,Car,FTG-069-RFD-326,A-101,Express,Small,120,100,"13.059816123454882, 77.77068662374292",49,KA,38MN6788,Fraud,20
3/27/2023,16:45:00,Truck,FTG-083-BVC-766,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",63,KA,44QR4567,Not Fraud,0
3/28/2023,21:20:00,Van,FTG-082-XCV-437,B-102,Regular,Medium,140,120,"13.059816123454882, 77.77068662374292",88,KA,47ST8901,Fraud,20
3/29/2023,02:50:00,Sedan,FTG-073-LKJ-101,A-101,Express,Medium,160,60,"13.059816123454882, 77.77068662374292",74,KA,50UV2344,Fraud,100
3/30/2023,07:30:00,SUV,FTG-074-POU-871,B-102,Regular,Large,180,90,"13.059816123454882, 77.77068662374292",96,KA,53WX6789,Fraud,90
3/31/2023,12:05:00,Bus ,FTG-055-ZWC-543,C-103,Express,Large,350,140,"13.059816123454882, 77.77068662374292",61,KA,56YZ0123,Fraud,210
04-01-2023,16:40:00,Car,FTG-066-PLM-216,A-101,Regular,Small,120,60,"13.059816123454882, 77.77068662374292",85,KA,59AB4567,Fraud,60
04-03-2023,03:00:00,Truck,FTG-058-WSX-656,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",79,KA,65EF2345,Not Fraud,0
04-04-2023,07:30:00,Van,FTG-099-QAZ-322,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",66,KA,68GH6789,Not Fraud,0
04-05-2023,12:05:00,Sedan,FTG-050-RFD-091,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",90,KA,71IJ0123,Not Fraud,0
04-06-2023,15:40:00,SUV,FTG-081-YUI-764,B-102,Express,Large,180,140,"13.059816123454882, 77.77068662374292",48,KA,74KL4567,Fraud,40
04-07-2023,21:20:00,Bus ,FTG-082-BVC-431,C-103,Regular,Large,350,90,"13.059816123454882, 77.77068662374292",77,KA,77MN8901,Fraud,260
04-08-2023,02:55:00,Car,FTG-063-NBH-102,A-101,Express,Small,120,90,"13.059816123454882, 77.77068662374292",60,KA,80OP2345,Fraud,30
04-10-2023,11:10:00,Truck,FTG-055-EDC-541,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",71,KA,86ST0123,Not Fraud,0
04-11-2023,15:50:00,Van,FTG-095-LMK-211,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",97,KA,89UV4567,Fraud,50
04-12-2023,20:25:00,Sedan,FTG-077-PLN-983,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",46,KA,92WX8901,Not Fraud,0
4/13/2023,01:00:00,SUV,FTG-088-VFR-652,B-102,Regular,Large,180,0,"13.059816123454882, 77.77068662374292",81,KA,95YZ2345,Fraud,180
4/14/2023,06:40:00,Bus ,FTG-079-RSX-321,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",64,KA,98AB6789,Fraud,250
4/15/2023,11:15:00,Car,FTG-170-QAZ-091,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",93,KA,01CD0123,Not Fraud,0
4/17/2023,21:30:00,Truck,FTG-121-ABC-614,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",86,KA,07GH8901,Not Fraud,0
4/18/2023,03:10:00,Van,FTG-131-PQR-329,B-102,Express,Medium,140,90,"13.059816123454882, 77.77068662374292",55,KA,10IJ2345,Fraud,50
4/19/2023,07:40:00,Sedan,FTG-114-DEF-092,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",82,KA,13KL6789,Not Fraud,0
4/20/2023,12:20:00,SUV,FTG-125-LMN-669,B-102,Express,Large,180,100,"13.059816123454882, 77.77068662374292",63,KA,16MN0123,Fraud,80
4/21/2023,16:55:00,Bus ,FTG-106-GHI-331,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",90,KA,19OP4567,Not Fraud,0
4/22/2023,22:35:00,Car,FTG-107-JKL-000,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",48,KA,22QR8901,Not Fraud,0
4/24/2023,08:50:00,Truck,FTG-109-RST-448,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",58,KA,28UV6789,Fraud,250
4/25/2023,13:30:00,Van,FTG-110-MNO-118,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",87,KA,31WX0123,Not Fraud,0
4/26/2023,18:05:00,Sedan,FTG-111-QWE-889,A-101,Express,Medium,160,100,"13.059816123454882, 77.77068662374292",67,KA,34YZ4567,Fraud,60
4/27/2023,23:40:00,SUV,FTG-112-ZXC-455,B-102,Regular,Large,180,90,"13.059816123454882, 77.77068662374292",94,KA,37AB8901,Fraud,90
01-01-2023,08:15:00,Bus ,FTG-113-PWI-323,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",71,KA,40CD2345,Fraud,250
01-02-2023,12:45:00,Car,FTG-114-KJH-087,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",89,KA,43EF6789,Not Fraud,0
01-04-2023,22:10:00,Truck,FTG-116-NBH-338,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",79,KA,49IJ4567,Not Fraud,0
01-05-2023,05:40:00,Van,FTG-117-LKI-007,B-102,Express,Medium,140,120,"13.059816123454882, 77.77068662374292",66,KA,52KL8901,Fraud,20
01-06-2023,11:20:00,Sedan,FTG-118-UYT-884,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",95,KA,55MN2345,Not Fraud,0
01-07-2023,14:55:00,SUV,FTG-119-FRD-338,B-102,Express,Large,180,120,"13.059816123454882, 77.77068662374292",44,KA,02YZ5678,Fraud,60
01-08-2023,18:25:00,Bus ,FTG-120-TYU-118,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",78,KA,05AB9012,Not Fraud,0
01-09-2023,02:05:00,Car,FTG-121-BVC-989,A-101,Express,Small,120,90,"13.059816123454882, 77.77068662374292",61,KA,08CD3456,Fraud,30
01-11-2023,10:00:00,Truck,FTG-123-NMK-333,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",49,KA,14GH0123,Not Fraud,0
01-12-2023,15:40:00,Van,FTG-124-CDE-792,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",74,KA,17IJ4567,Fraud,50
1/13/2023,20:15:00,Sedan,FTG-125-VBN-752,A-101,Express,Medium,160,120,"13.059816123454882, 77.77068662374292",69,KA,20KL8901,Fraud,40
1/14/2023,01:55:00,SUV,FTG-126-PLM-410,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",92,KA,23MN2345,Not Fraud,0
1/15/2023,07:30:00,Bus ,FTG-127-HGT-00W,C-103,Express,Large,350,140,"13.059816123454882, 77.77068662374292",57,KA,26OP6789,Fraud,210
1/16/2023,12:10:00,Car,FTG-128-WSX-855,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",83,KA,29QR0123,Not Fraud,0
1/18/2023,22:20:00,Truck,FTG-130-LPO-013,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",96,KA,35UV8901,Not Fraud,0
1/19/2023,04:00:00,Van,FTG-131-ZAS-888,B-102,Express,Medium,140,90,"13.059816123454882, 77.77068662374292",46,KA,38WX2345,Fraud,50
1/20/2023,08:30:00,Sedan,FTG-132-IXC-452,A-101,Regular,Medium,160,120,"13.059816123454882, 77.77068662374292",81,KA,41YZ6779,Fraud,40
1/21/2023,13:10:00,SUV,FTG-133-JOP-337,B-102,Express,Large,180,100,"13.059816123454882, 77.77068662374292",60,KA,44AB0023,Fraud,80
1/22/2023,16:45:00,Bus ,FTG-134-RWV-098,C-103,Regular,Large,350,180,"13.059816123454882, 77.77068662374292",88,KA,47CD4557,Fraud,170
1/23/2023,22:25:00,Car,FTG-125-EDC-768,A-101,Express,Small,120,0,"13.059816123454882, 77.77068662374292",53,KA,50EF8981,Fraud,120
1/25/2023,07:35:00,Truck,FTG-137-NJI-102,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",64,KA,56IJ6779,Not Fraud,0
1/26/2023,12:10:00,Van,FTG-128-LKJ-872,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",91,KA,59KL0113,Not Fraud,0
1/27/2023,15:45:00,Sedan,FTG-129-UTY-542,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",50,KA,62MN4467,Not Fraud,0
1/28/2023,21:25:00,SUV,FTG-141-POU-211,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",75,KA,65OP8801,Not Fraud,0
1/29/2023,03:05:00,Bus ,FTG-121-ZXC-981,C-103,Express,Large,350,90,"13.059816123454882, 77.77068662374292",59,KA,68QR2245,Fraud,260
1/30/2023,07:35:00,Car,FTG-122-VBN-659,A-101,Regular,Small,120,90,"13.059816123454882, 77.77068662374292",84,KA,71ST6989,Fraud,30
02-01-2023,16:50:00,Truck,FTG-124-MKH-099,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",93,KA,77WX4567,Not Fraud,0
02-02-2023,21:25:00,Van,FTG-125-DCF-768,B-102,Express,Medium,140,100,"13.059816123454882, 77.77068662374292",45,KA,80YZ8901,Fraud,40
02-03-2023,03:05:00,Sedan,FTG-126-POI-430,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",80,KA,83AB2245,Not Fraud,0
02-04-2023,08:40:00,SUV,FTG-127-XCV-103,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",62,KA,86CD6689,Not Fraud,0
02-05-2023,13:20:00,Bus ,FTG-128-JKL-871,C-103,Regular,Large,350,180,"13.059816123454882, 77.77068662374292",86,KA,89EF0223,Fraud,170
02-06-2023,18:55:00,Car,FTG-229-RFD-540,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",51,KA,92GH4467,Not Fraud,0
02-08-2023,05:10:00,Truck,FTG-121-YUI-986,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",56,KA,98KL2245,Fraud,250
02-09-2023,09:40:00,Van,FTG-122-BVC-653,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",82,KA,01MN6889,Not Fraud,0
02-10-2023,14:20:00,Sedan,FTG-123-NBH-323,A-101,Express,Medium,160,100,"13.059816123454882, 77.77068662374292",70,KA,04OP0122,Fraud,60
02-11-2023,17:55:00,SUV,FTG-144-KJH-092,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",97,KA,07QR4562,Not Fraud,0
02-12-2023,23:35:00,Bus ,FTG-145-EDC-742,C-103,Express,Large,350,180,"13.059816123454882, 77.77068662374292",47,KA,10ST8101,Fraud,170
2/13/2023,04:05:00,Car,FTG-156-LMK-421,A-101,Regular,Small,120,180,"13.059816123454882, 77.77068662374292",84,KA,13UV2145,Fraud,-60
2/15/2023,13:20:00,Truck,FTG-158-VFR-862,C-103,Regular,Large,350,180,"13.059816123454882, 77.77068662374292",92,KA,19YZ0223,Fraud,170
2/16/2023,16:55:00,Van,FTG-159-WSX-441,B-102,Express,Medium,140,120,"13.059816123454882, 77.77068662374292",53,KA,22AB2245,Fraud,20
2/17/2023,22:35:00,Sedan,FTG-160-QAZ-212,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",79,KA,25CD6889,Not Fraud,0
2/18/2023,04:15:00,SUV,FTG-161-POU-998,B-102,Express,Large,180,160,"13.059816123454882, 77.77068662374292",61,KA,28EF0133,Fraud,20
2/19/2023,08:45:00,Bus ,FTG-162-NJH-552,C-103,Regular,Large,350,180,"13.059816123454882, 77.77068662374292",89,KA,31GH4467,Fraud,170
2/20/2023,13:25:00,Car,FTG-133-ZXC-322,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",44,KA,34IJ8401,Not Fraud,0
2/22/2023,22:35:00,Truck,FTG-135-LKJ-764,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",67,KA,40MN6689,Fraud,250
2/23/2023,04:15:00,Van,FTG-136-HGT-431,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",95,KA,43OP0223,Fraud,50
2/24/2023,08:50:00,Sedan,FTG-166-MKF-101,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",55,KA,46QR3567,Not Fraud,0
2/25/2023,13:30:00,SUV,FTG-168-DCV-871,B-102,Regular,Large,180,120,"13.059816123454882, 77.77068662374292",80,KA,49ST8903,Fraud,60
2/26/2023,18:05:00,Bus ,FTG-169-NBH-542,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",62,KA,52UV2348,Not Fraud,0
2/27/2023,23:40:00,Car,FTG-140-POI-211,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",87,KA,45WX6789,Not Fraud,0
03-01-2023,09:50:00,Truck,FTG-142-QAZ-651,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",73,KA,60AB2345,Fraud,230
03-02-2023,14:30:00,Van,FTG-143-KJH-322,B-102,Express,Medium,140,100,"13.059816123454882, 77.77068662374292",68,KA,54CD6789,Fraud,40
03-03-2023,18:05:00,Sedan,FTG-144-VFR-092,A-101,Regular,Medium,160,90,"13.059816123454882, 77.77068662374292",91,KA,57EF0123,Fraud,70
03-04-2023,23:45:00,SUV,FTG-145-YUI-764,B-102,Express,Large,180,90,"13.059816123454882, 77.77068662374292",52,KA,70GH4467,Fraud,90
03-05-2023,03:15:00,Bus ,FTG-146-CDE-431,C-103,Regular,Large,350,90,"13.059816123454882, 77.77068662374292",82,KA,73IJ8801,Fraud,260
03-06-2023,07:55:00,Car,FTG-147-LMK-110,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",56,KA,76KL2245,Not Fraud,0
03-08-2023,16:05:00,Truck,FTG-139-RFD-443,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",69,KA,82OP1123,Not Fraud,0
03-09-2023,21:45:00,Van,FTG-140-TGB-211,B-102,Regular,Medium,140,120,"13.059816123454882, 77.77068662374292",94,KA,85QR3567,Fraud,20
03-10-2023,03:25:00,Sedan,FTG-141-BVC-988,A-101,Express,Medium,160,120,"13.059816123454882, 77.77068662374292",49,KA,88ST8801,Fraud,40
03-11-2023,08:55:00,SUV,FTG-142-XCV-658,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",76,KA,91UV2245,Not Fraud,0
03-12-2023,13:35:00,Bus ,FTG-143-LKJ-327,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",63,KA,94WX6689,Not Fraud,0
3/13/2023,18:10:00,Car,FTG-144-POU-092,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",88,KA,97YZ1123,Not Fraud,0
3/15/2023,05:30:00,Truck,FTG-136-PLM-431,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",96,KA,05CD6589,Fraud,230
3/16/2023,10:05:00,Van,FTG-137-HGT-107,B-102,Express,Medium,140,100,"13.059816123454882, 77.77068662374292",61,KA,08EF1123,Fraud,40
3/17/2023,14:45:00,Sedan,FTG-138-WSX-878,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",85,KA,11GH5567,Not Fraud,0
3/18/2023,19:20:00,SUV,FTG-139-QAZ-546,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",52,KA,14IJ7901,Not Fraud,0
3/19/2023,00:55:00,Bus ,FTG-130-RFD-217,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",79,KA,17KL3345,Not Fraud,0
3/20/2023,06:35:00,Car,FTG-161-YUI-988,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",66,KA,20MN6689,Not Fraud,0
3/22/2023,15:40:00,Truck,FTG-183-NBH-323,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",48,KA,26QR3567,Not Fraud,0
3/23/2023,21:20:00,Van,FTG-184-KJH-094,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",77,KA,29ST8801,Not Fraud,0
3/24/2023,02:00:00,Sedan,FTG-185-EDC-763,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",60,KA,32UV2245,Not Fraud,0
3/25/2023,06:30:00,SUV,FTG-186-LMK-431,B-102,Regular,Large,180,90,"13.059816123454882, 77.77068662374292",83,KA,35WX6589,Fraud,90
3/26/2023,11:05:00,Bus ,FTG-187-WLN-109,C-103,Express,Large,350,160,"13.059816123454882, 77.77068662374292",71,KA,38YZ1123,Fraud,190
